indicator,year,value,country
total_unemployment,2006,22.3,South Africa
total_unemployment,2007,22.26,South Africa
total_unemployment,2008,22.41,South Africa
total_unemployment,2009,23.52,South Africa
total_unemployment,2010,24.68,South Africa
total_unemployment,2011,24.64,South Africa
total_unemployment,2012,24.73,South Africa
total_unemployment,2013,24.56,South Africa
total_unemployment,2014,24.89,South Africa
total_unemployment,2015,25.15,South Africa
total_unemployment,2016,26.54,South Africa
total_unemployment,2017,27.04,South Africa
total_unemployment,2018,26.91,South Africa
total_unemployment,2019,28.47,South Africa
total_unemployment,2020,29.22,South Africa
total_unemployment,2021,34.01,South Africa
total_unemployment,2022,33.27,South Africa
total_unemployment,2023,32.1,South Africa
total_unemployment,2024,32.28,South Africa
total_unemployment,2025,32.39,South Africa
youth_not_in_education,2001,34.65,South Africa
youth_not_in_education,2002,35.7,South Africa
youth_not_in_education,2003,36.58,South Africa
youth_not_in_education,2004,35.39,South Africa
youth_not_in_education,2005,34.42,South Africa
youth_not_in_education,2006,33.38,South Africa
youth_not_in_education,2007,32.63,South Africa
youth_not_in_education,2011,35.91,South Africa
youth_not_in_education,2013,31.97,South Africa
youth_not_in_education,2014,31.31,South Africa
youth_not_in_education,2015,30.5,South Africa
youth_not_in_education,2016,31.22,South Africa
youth_not_in_education,2017,31.01,South Africa
youth_not_in_education,2018,31.56,South Africa
youth_not_in_education,2019,32.46,South Africa
youth_not_in_education,2020,32.4,South Africa
youth_not_in_education,2021,32.94,South Africa
youth_not_in_education,2022,35.19,South Africa
youth_not_in_education,2023,33.98,South Africa
youth_not_in_education,2024,34.61,South Africa
youth_unemployment,2006,43.87,South Africa
youth_unemployment,2007,44.04,South Africa
youth_unemployment,2008,44.58,South Africa
youth_unemployment,2009,47.47,South Africa
youth_unemployment,2010,50.45,South Africa
youth_unemployment,2011,49.74,South Africa
youth_unemployment,2012,51.32,South Africa
youth_unemployment,2013,51.2,South Africa
youth_unemployment,2014,51.19,South Africa
youth_unemployment,2015,50.12,South Africa
youth_unemployment,2016,53.45,South Africa
youth_unemployment,2017,53.4,South Africa
youth_unemployment,2018,53.63,South Africa
youth_unemployment,2019,57.32,South Africa
youth_unemployment,2020,59.61,South Africa
youth_unemployment,2021,65.45,South Africa
youth_unemployment,2022,61.68,South Africa
youth_unemployment,2023,60.26,South Africa
youth_unemployment,2024,60.25,South Africa
youth_unemployment,2025,59.93,South Africa
